purchase_dow,purchase_month,year,product_size_cm3,product_weight_g,geolocation_state_customer,geolocation_state_seller,distance,wait_time_in_days
1,5,2017,74949,14546,10,17,274.2100414828185,10
4,9,2017,50508,15536,5,5,575.8892299561911,6
5,7,2018,73711,8046,4,8,388.76572055454767,6
1,11,2017,38595,7146,13,12,724.345502311326,8
3,5,2018,19659,2843,5,11,148.5467465294735,8
3,12,2018,80274,2286,9,17,202.43295297600656,3
1,4,2017,40158,15601,16,13,771.2343029879181,7
6,5,2018,73352,12739,9,1,238.96494693555874,12
1,11,2018,76254,2596,17,26,929.7435598015019,17
2,3,2017,40668,18024,22,7,657.1241460106735,12
5,11,2018,80243,142,6,20,396.6927585760906,11
2,6,2017,55813,9003,5,18,322.64363340458954,4
5,6,2017,86252,17960,15,4,757.5707067405696,10
0,9,2018,16602,547,15,12,448.24555288322125,7
0,4,2017,48283,16340,27,15,30.469410560857725,10
2,7,2018,81929,12874,11,13,602.4018989916369,16
6,8,2017,62939,16073,23,4,310.81311759000704,11
0,2,2018,6632,6481,4,22,504.065454967219,9
3,12,2018,29058,6054,5,24,514.1188386644262,10
6,4,2018,85197,1209,19,25,875.1047480784832,17
6,8,2018,32714,11721,21,3,807.3927803154637,16
6,7,2018,53425,1520,16,11,694.9831744194549,12
5,2,2018,61527,18944,24,17,937.7572234714212,15
4,7,2017,29086,12093,3,13,696.3204520653055,14
5,3,2018,89190,1527,9,7,712.1988159957253,8
3,7,2018,91896,590,7,8,767.0754401899987,7
2,3,2018,9248,13559,4,9,932.9707910935654,12
1,2,2018,13674,5875,10,20,316.1048703368158,10
4,4,2017,84503,19147,15,23,701.1933032959965,12
2,1,2017,54056,16016,26,24,782.2227028649643,12
1,12,2018,4672,15977,7,19,285.7447942553467,9
0,6,2017,28542,7654,26,22,49.941959895574605,8
4,10,2017,95078,13655,16,8,574.1134271814952,7
5,6,2018,92184,7664,5,15,518.8057677415794,12
1,2,2018,82590,5358,21,22,938.6821890459739,14
3,12,2017,77304,1339,22,26,134.43284299076228,5
4,7,2017,15248,8153,15,25,66.5128309950469,5
5,12,2017,22186,15504,19,13,937.4215006737687,10
4,6,2017,25155,8170,2,25,403.614205423516,8
4,3,2017,30010,12796,8,12,837.2592825465931,9
2,8,2018,82825,4170,12,11,349.2159866738346,11
2,12,2018,83309,5564,4,19,662.6120406339908,7
5,11,2017,6324,3455,18,20,493.04456203319984,12
6,1,2017,74514,3583,23,5,605.8756729483244,13
5,9,2017,4836,16806,3,5,410.93588329379264,4
5,8,2017,36653,19130,19,5,441.0981717804082,15
3,6,2017,53726,560,19,14,716.9158174174067,10
6,8,2017,95916,15752,6,27,374.6950302275313,12
0,10,2017,91193,413,6,23,474.85572970929593,9
0,1,2017,70505,9141,27,8,437.6102616920091,14
3,4,2017,90733,198,3,17,300.3997806697583,6
6,3,2018,20843,18904,7,13,894.3636591876377,12
4,3,2017,34055,889,10,4,651.8572159983283,11
3,10,2017,45669,5445,19,11,588.6496582142207,9
2,2,2018,61673,14874,12,1,36.80890566716678,12
6,10,2017,96436,13396,13,15,396.9588952795244,5
5,11,2018,55090,15779,23,18,967.5366960835604,18
1,4,2017,12870,9040,2,4,961.9350400726576,5
1,7,2017,57920,18389,7,3,244.3366226963589,7
1,9,2018,12605,12090,21,25,126.2974059242176,1
4,11,2018,491,845,21,17,577.9310934521584,9
3,6,2017,65739,8458,13,3,265.64910043487623,11
0,10,2018,28201,17664,21,27,145.86326292081074,2
1,3,2017,5210,7541,21,24,981.4635101121137,1
6,2,2017,63094,1863,14,13,562.4335360018066,6
6,12,2018,16879,9060,27,19,213.57929633829596,9
2,7,2018,10384,15413,21,12,861.0372086235883,17
0,1,2018,76286,19322,25,19,342.87771799971557,10
3,11,2018,46151,6803,20,14,145.28783453347674,8
5,6,2018,18435,18265,15,6,627.6960158130026,8
1,1,2018,59116,19929,12,16,409.3041709319594,7
4,1,2017,91627,17520,12,2,870.0722745124108,11
0,1,2017,1716,7702,20,14,552.5769845993933,6
6,2,2017,83024,11105,13,22,408.0785629314687,10
1,12,2017,12336,15368,24,14,346.5197844378213,5
3,4,2017,17415,2010,10,17,407.4272781585767,9
3,3,2017,89559,11749,8,16,864.7757799768717,3
5,4,2017,27943,12857,1,8,495.9644695649148,10
1,7,2018,43490,12930,12,22,440.6900955725589,8
4,6,2017,12842,5960,2,8,557.9350945629585,10
1,3,2017,9147,7351,12,17,554.8804665848766,1
2,4,2018,94647,1564,19,18,776.8189753488394,7
3,5,2018,54196,1504,13,22,620.8167389022401,13
1,9,2017,62431,18963,19,4,707.3695339087527,8
3,12,2017,51015,15432,16,26,553.9630202585441,8
1,3,2017,77834,7786,15,22,50.47525125314206,6
4,10,2018,53614,19171,6,22,715.5340641968523,15
1,5,2017,95224,15740,19,10,16.861481811309183,8
6,8,2018,88437,7583,2,6,284.6988959922036,7
1,7,2017,92331,14852,11,2,46.15678423772798,2
1,8,2018,71929,5711,24,23,585.9628192416586,10
4,12,2018,71443,18295,10,27,606.766571360909,12
6,6,2017,48269,7812,25,11,668.0157804097707,11
6,10,2017,94205,13459,1,16,403.08227328954314,12
0,7,2017,28630,7625,4,10,196.93565308022613,1
4,7,2018,20668,9505,24,12,599.9740266354003,8
4,9,2018,55664,12188,21,7,999.1265386375734,12
3,6,2018,70312,14521,10,17,57.48219665701468,13
2,6,2018,47428,6759,23,11,864.4017578716832,14
2,12,2017,94220,1616,4,24,144.02182046178393,5
0,8,2018,20882,6893,22,25,993.6995383626303,9
0,12,2017,2026,2761,13,17,390.82440416549446,4
3,6,2017,6553,807,6,22,416.54894518541425,13
0,7,2017,34428,3053,23,18,958.5589608083245,13
5,1,2017,1402,11952,18,23,256.31776798927206,8
4,12,2017,38744,3829,21,21,579.7970389310434,5
4,8,2017,76256,4370,14,7,540.4913837541485,11
4,4,2017,56702,18873,18,4,80.90913633076778,6
3,2,2018,89725,15943,7,22,143.95951117036853,17
1,5,2017,72971,314,8,22,316.54891971569594,8
2,11,2018,93072,321,17,21,790.194843975707,8
3,6,2018,9633,17023,5,16,629.7369896710741,18
0,6,2018,52181,2089,24,10,805.5945343151033,10
2,1,2017,12130,2983,21,7,418.4184481418039,5
5,8,2018,89005,12713,7,13,488.4581601985833,7
3,9,2018,4629,13954,20,3,675.7952646952162,11
0,11,2018,15026,18616,19,4,743.6871439525288,14
5,10,2017,73893,18400,14,13,323.4524528903101,7
6,12,2018,43201,8023,26,23,286.47002354731126,9
0,12,2018,48597,9963,19,8,615.0021308783253,14
3,4,2017,97812,14872,13,4,655.0861549656347,14
1,2,2017,73621,1575,10,19,323.14284704761036,10
1,12,2017,35152,17094,1,15,342.0985442511642,2
1,3,2017,26095,15159,18,16,112.37428599549499,2
0,2,2018,70219,18513,22,2,93.45798178573872,15
4,7,2017,1095,16674,20,1,630.6441579302665,14
5,2,2017,34085,15178,4,13,157.42665107187983,7
1,2,2018,99480,5324,5,7,143.0112112699014,6
5,5,2018,77291,2512,24,8,899.0085134788279,21
5,2,2017,68666,15653,6,5,600.8825691951754,15
3,2,2018,76353,12161,2,19,781.3470670612747,16
2,12,2018,14037,6334,6,4,60.6130141099834,2
1,4,2017,50230,6851,20,17,568.9420362563748,1
4,1,2017,30522,17955,23,6,966.1760129612785,10
3,12,2018,20181,4569,19,11,410.0869926933445,8
3,8,2017,72758,6509,16,22,936.1054137474507,7
1,2,2017,63873,2467,22,4,730.8892153519679,9
1,11,2018,78711,2558,10,23,340.7198380002432,10
4,4,2017,54808,18501,12,14,647.8115659065069,10
3,6,2017,5385,14933,19,18,602.7481871003207,7
0,3,2018,27974,14876,13,6,971.4695173381074,8
2,2,2017,42632,15281,24,19,457.1620801616988,9
3,5,2018,92025,1654,27,15,737.1596619712777,14
6,2,2017,34361,10590,27,17,583.3133796478584,10
3,9,2017,17983,19725,6,10,719.8251775985555,10
0,5,2018,38993,6331,13,4,401.07766293453386,10
3,8,2018,13864,5796,17,24,724.6884053672172,10
5,8,2017,19182,15652,16,8,566.517850251466,10
3,5,2018,83004,5315,20,14,918.945782179736,10
3,8,2018,37712,4708,21,21,785.5753223321137,4
6,5,2018,24381,12419,5,23,570.3446665941785,14
2,7,2017,8174,19414,17,13,495.5943821428173,14
5,12,2018,7995,10974,4,3,362.38066852260255,9
0,12,2018,909,17227,18,17,278.46308520113246,8
6,9,2017,5452,15623,2,20,310.3296770971711,7
6,7,2017,51981,15716,15,12,847.8957776731273,15
5,9,2017,45879,4867,17,6,30.733572652033327,10
0,10,2018,84621,6147,7,8,406.23803207223443,7
5,11,2017,61164,13964,8,23,887.7035410656619,11
2,4,2017,15761,13295,24,15,983.4880079784365,9
2,1,2017,81341,252,20,20,265.6398784811221,12
3,6,2017,7990,4045,4,26,979.0248490122809,10
6,4,2018,17620,15887,6,7,933.6634865793105,15
0,2,2017,81346,14311,18,26,345.1146862885917,8
1,4,2017,15941,16839,18,1,436.7688607887496,6
1,7,2018,42270,19733,17,23,379.32489236591744,6
1,11,2018,77362,790,1,8,755.3135689805318,14
4,12,2018,69206,9997,23,1,548.1332068359615,16
4,3,2018,33518,16175,1,7,777.0653113989749,13
6,5,2017,18489,17341,15,19,908.4374942633663,12
3,4,2018,19431,19453,20,14,116.78858359636435,3
1,6,2017,69924,4907,8,9,343.73530513429085,2
5,7,2017,82077,2902,14,22,741.1720438432918,17
4,5,2017,5932,3296,21,14,948.3270751930163,13
6,6,2017,26681,9776,26,5,169.5101524565751,9
0,1,2017,53957,3197,23,20,559.4307492115524,6
0,9,2017,66229,19612,24,19,958.3979056287801,9
0,2,2017,56947,1083,2,5,898.6837844125272,5
5,7,2017,72584,8602,11,7,332.8798811834899,4
1,2,2017,85843,18584,7,6,527.6061492954009,5
2,3,2018,66299,19600,14,12,626.3881755708624,12
0,9,2017,39739,17850,24,17,65.05903538000328,1
3,3,2018,66813,17090,21,15,374.9940143731639,8
1,4,2017,63426,14493,17,17,999.2187809117514,13
0,2,2018,64652,11807,16,4,29.46446115037739,8
0,4,2017,84532,8851,26,12,170.14717417743447,11
3,12,2017,12010,19660,20,8,774.7584930881868,6
4,7,2018,87547,10747,23,12,352.3230420939117,14
1,1,2018,21508,5742,1,16,495.1014067334177,9
3,5,2017,30510,3914,24,16,628.7657836231564,9
5,10,2018,43887,4771,19,23,966.9978251905187,14
6,12,2017,11036,13301,8,9,67.34666503218526,4
0,9,2017,96613,4434,2,3,543.3978261638902,4
2,9,2018,69734,14015,22,13,339.0756007995785,17
0,9,2017,86141,15415,18,21,994.000914769572,8
1,9,2017,4915,1543,13,20,538.7258326222084,3
2,10,2017,18520,5281,25,20,937.8457262886011,10
3,3,2017,62224,8283,22,6,651.2225273719763,8
5,7,2018,54154,7249,19,15,374.8166186828219,6
4,5,2018,78657,17515,23,13,894.4292224596335,20
6,2,2018,22800,3953,9,2,821.4468626208943,13
3,5,2018,99386,7264,14,25,352.7454431051811,12
0,8,2018,95190,17389,13,1,307.1219286354714,11
1,9,2017,28974,15825,12,9,938.7556546113475,5
3,8,2018,22330,8334,5,18,533.8594026952796,15
2,10,2018,33265,19459,1,8,751.5488182897395,12
0,1,2018,30248,9851,15,14,384.24669292734563,3
6,12,2017,80928,1042,6,19,598.9481429785137,8
2,2,2017,56786,16920,25,26,916.6746672217868,12
3,3,2018,51027,14635,6,18,235.97178013066696,8
6,5,2017,18129,3482,3,1,395.77437887978675,14
1,3,2018,54214,12049,17,13,154.41960639972555,11
6,5,2018,82684,11523,6,5,606.9952792984501,12
5,2,2018,91950,7482,3,15,560.6586756190621,7
4,12,2018,78841,16373,15,15,986.3032327064697,16
3,10,2018,8165,6566,25,16,125.1557017344893,6
6,6,2017,88066,2066,1,27,908.367670824127,17
6,6,2018,41413,2139,24,27,498.9553307332334,10
5,8,2018,64293,4003,24,21,115.88945396179811,10
4,5,2017,84026,9405,7,27,156.62315683761253,13
3,3,2018,31768,15836,22,11,885.3901741747999,10
5,5,2018,7378,18594,18,4,334.9604287037024,9
1,5,2017,94817,329,8,2,484.846394444934,13
0,8,2018,87122,6091,4,8,838.5140039404619,7
4,8,2018,58486,18839,12,9,775.9967612064053,12
6,8,2017,42745,2796,15,5,708.3246408183667,8
6,1,2017,95298,14875,27,22,574.7272942074487,12
5,7,2018,10195,11799,4,8,502.1973510654431,9
4,12,2017,9783,18075,18,10,529.7380567084072,9
4,6,2017,1456,4167,11,21,302.79269011391017,10
0,5,2017,45089,11016,13,15,710.3491031420568,5
1,11,2017,49397,11558,19,9,618.4796449976898,14
4,3,2018,89701,6184,3,6,887.4913108244583,9
5,2,2018,60077,11709,15,15,116.81171074348053,11
2,9,2017,43707,1842,15,7,702.8973492380454,7
2,5,2017,16355,6646,18,12,75.75512116790046,7
2,12,2018,27416,7701,8,20,24.15444438990914,1
1,11,2018,51315,19333,1,27,311.3788212889466,16
3,11,2017,7338,1007,7,19,855.8724690603623,6
6,3,2017,1218,18510,10,9,279.9209643904403,1
3,10,2017,33393,9125,7,14,314.5920797933811,1
3,9,2018,91723,16519,5,17,76.27881484308784,12
0,2,2018,46475,7509,27,18,245.18693557763274,7
4,4,2017,94803,13076,16,25,440.6250423334111,10
2,6,2018,19109,16058,22,2,367.7605814381229,9
5,9,2017,53968,1567,18,23,739.4531213787839,9
0,7,2017,25285,18454,3,20,161.59895250824692,6
6,8,2018,21679,16831,14,17,604.3543126850325,9
4,10,2017,74798,11260,24,14,387.14259167432243,8
2,6,2018,76966,11187,22,14,359.5381168658225,9
5,7,2017,2376,16402,16,3,587.0321898079212,10
6,8,2017,33628,11180,26,17,343.0045447040203,8
3,12,2017,85923,7727,1,1,371.0048093487841,4
2,11,2018,16820,4422,23,14,523.1445149701639,13
5,1,2018,56328,12992,19,25,357.3778298606338,10
5,8,2017,52886,2592,19,11,909.1365473371868,13
1,5,2017,65370,10641,5,24,505.9285015780246,4
6,6,2018,90913,9065,1,26,522.9546094671937,17
6,8,2017,30653,10863,20,10,500.6149093488116,7
5,4,2018,30446,19156,9,17,620.8825041292205,11
5,3,2017,55377,8737,4,20,875.3297861946824,9
2,11,2018,13161,3663,24,2,929.2385755820416,18
0,5,2018,94917,15263,14,17,669.3767915734181,9
6,6,2018,19975,7748,6,8,442.7353502948299,7
3,4,2018,8270,4564,23,22,850.9023505029944,9
2,2,2018,77926,14191,14,6,110.99315877450847,14
4,2,2018,20278,432,25,1,99.47278038380813,15
4,9,2018,76415,19382,15,15,94.577309021061,5
0,2,2017,93414,11626,17,17,969.9249858275529,11
2,4,2018,46095,3594,1,27,612.5497945476933,17
2,9,2017,28913,6613,8,4,203.18558573210413,5
2,4,2018,69493,6596,18,27,964.5981505075365,12
5,10,2018,66666,10172,17,8,485.0018132488445,18
2,11,2017,96393,17640,13,22,60.00717318017281,6
5,6,2017,39061,18767,23,10,411.82884778061793,8
5,6,2017,72637,12992,4,2,371.1386268436794,8
5,7,2017,22388,2925,22,5,990.2260885943681,11
1,8,2017,35558,12893,20,11,206.05809677256798,6
5,3,2018,51572,16296,12,6,332.0445626179025,12
3,1,2017,98145,10392,7,23,868.6789291088484,13
1,1,2017,87514,8655,1,15,903.2468739871136,12
6,2,2018,80309,13471,24,22,689.1867266876135,16
3,2,2017,74193,14205,16,4,496.00056601974995,7
3,11,2018,45390,3505,11,21,809.3488859830284,13
3,12,2017,48516,18922,26,19,63.1758198069132,1
6,6,2017,6158,2849,13,23,497.4314264244714,13
3,6,2018,85091,3182,27,21,941.2800943881847,11
2,3,2018,82635,1618,7,22,981.2236873921174,16
2,5,2018,42727,267,20,24,262.0143156003927,12
5,5,2018,33533,443,22,9,857.8765378151426,12
6,11,2018,64197,12048,6,14,795.333885739781,12
4,9,2018,47724,4694,13,25,566.5915266002934,4
6,1,2017,47826,105,3,3,699.865880152534,9
1,11,2018,38320,15111,14,22,894.3396934674674,16
5,12,2017,22090,3488,16,8,588.8764043504945,7
0,8,2017,49454,3944,6,26,878.4010045607986,11
4,2,2018,24041,3661,15,25,871.056711768686,15
1,2,2018,89173,1575,8,10,804.4888800886648,15
1,11,2018,80038,391,14,8,216.93486245233106,13
1,6,2017,45228,12711,17,26,821.403184907956,8
4,6,2018,37612,5950,8,23,330.18673761098535,7
6,5,2018,86317,126,25,7,616.5288595148977,15
6,8,2018,72515,2656,5,14,314.07578229179194,14
3,2,2018,55050,8010,10,21,392.71104133254084,13
0,6,2018,39392,15038,26,10,206.50012132256657,11
3,2,2018,78776,2554,18,7,716.0405164610471,15
6,2,2018,77367,6840,24,3,537.0254692603335,16
5,6,2017,38931,17926,2,18,901.0992770110379,11
4,9,2017,72114,19024,12,25,781.7216694823493,13
5,5,2017,38982,3113,21,26,42.09023374303952,5
0,8,2017,1227,3065,16,10,881.1852002151454,9
4,8,2018,74606,15859,24,3,348.8917224360616,14
4,11,2018,96673,18990,16,12,228.3799005141019,13
2,7,2018,5738,7353,20,25,134.8846142142835,2
2,1,2017,23205,541,14,19,87.57520685088205,4
5,2,2017,24869,14748,10,21,215.3401187895466,9
1,6,2018,94839,18326,11,15,574.5185292808452,5
6,4,2018,63874,8314,23,2,294.5090890273694,15
0,10,2018,53398,1585,8,3,213.08869394656887,12
1,9,2018,2066,13179,7,11,35.660118576223425,9
3,3,2017,11522,10168,11,15,403.45219375781113,8
3,2,2017,80120,238,18,4,275.68063359744343,12
1,7,2017,61322,3645,9,5,313.89098933947065,6
4,7,2017,13897,2267,20,1,585.5791632856264,7
6,10,2017,22214,10422,15,13,315.53137221154304,5
5,7,2018,92425,19075,5,22,918.4331500449974,18
5,12,2018,72768,6358,11,16,999.859579361991,9
2,6,2018,76775,6522,26,11,625.5717260383243,5
6,8,2017,60041,7808,14,8,230.89456330681463,11
0,10,2018,47792,3663,10,17,456.9319456755766,4
5,7,2018,13684,9065,17,5,952.3197555546975,7
2,2,2018,33253,883,22,16,560.0470432601594,7
5,2,2018,68917,6706,21,4,467.8667877049707,16
6,4,2017,75956,18881,13,15,887.7730731100023,16
0,12,2017,99828,13696,27,7,507.6734952306307,7
3,8,2017,24912,10628,5,17,843.0619334026844,11
1,10,2018,99526,7800,10,9,551.0130667348113,10
6,12,2018,62320,10206,11,18,26.296512981604508,14
5,12,2017,58373,12887,17,5,965.3357283805435,11
5,1,2017,82313,12155,8,20,92.1361875452227,9
1,6,2018,13350,10380,2,26,377.14795851868377,10
5,6,2017,35556,1829,13,9,370.2537456245736,1
5,5,2018,7981,5723,23,9,594.6877437456262,10
6,11,2017,37012,13454,12,15,972.2705150953824,8
5,3,2018,32624,2112,16,9,553.982824032041,14
6,10,2017,47624,5499,21,18,83.9201217983342,4
2,10,2018,60235,16402,3,2,918.7711827505724,10
0,11,2018,14297,9815,8,15,575.5268617740644,13
1,5,2017,61028,6194,6,8,115.71554606787116,7
4,6,2017,80880,8839,7,5,757.5310598210544,2
3,5,2017,18546,14210,9,25,651.8599531778686,14
6,3,2017,44670,17157,17,8,616.7918644128612,14
0,7,2018,80555,14999,24,15,513.1433016285268,13
4,2,2017,4436,19891,10,22,827.2128985715491,12
6,4,2018,55837,8405,1,19,104.20443299368716,15
2,6,2018,51142,464,19,21,469.49040243918296,3
3,3,2017,22680,18915,16,15,95.82183719873609,2
2,7,2017,15689,5587,7,24,68.21382398902598,14
6,11,2017,20582,16781,18,22,35.83587896356087,8
